subperiodlarge,subperiodsmall,TESTPERIOD,OBS,date,port,ret_Port_Mean,ret_Port_Sd,mkt_Port_Mean,beta_Port_Mean,beta_sq_Port_Mean,sdres_Port_Mean
1935 to 1945,1935 to 1940,1,1,31/01/1935,1,-0.058624171,0.134285059,-0.031322746,0.737950015,0.630354477,0.16979421
1935 to 1945,1935 to 1940,1,2,31/01/1935,2,-0.013312687,0.104827684,-0.031322746,0.715856017,0.724825043,0.128576067
1935 to 1945,1935 to 1940,1,3,31/01/1935,3,-0.045579131,0.092772135,-0.031322746,0.874625733,0.89487497,0.133711171
1935 to 1945,1935 to 1940,1,4,31/01/1935,4,-0.061676783,0.085793271,-0.031322746,0.964786422,1.105663978,0.154632438
1935 to 1945,1935 to 1940,1,5,31/01/1935,5,-0.035213063,0.164622578,-0.031322746,0.8136505,0.770239755,0.160069704
1935 to 1945,1935 to 1940,1,6,31/01/1935,6,-0.066567018,0.085352486,-0.031322746,0.857487905,0.873558519,0.148908613
1935 to 1945,1935 to 1940,1,7,31/01/1935,7,-0.019648587,0.141444883,-0.031322746,0.991583008,1.151253928,0.147408456
1935 to 1945,1935 to 1940,1,8,31/01/1935,8,-0.034772311,0.117741353,-0.031322746,0.925838532,0.989020704,0.177673104
1935 to 1945,1935 to 1940,1,9,31/01/1935,9,-0.017677865,0.078354842,-0.031322746,1.043676748,1.224339031,0.163227283
1935 to 1945,1935 to 1940,1,10,31/01/1935,10,-0.071736704,0.093514281,-0.031322746,1.109354949,1.287279991,0.191214744
1935 to 1945,1935 to 1940,1,11,31/01/1935,11,-0.044716195,0.080131597,-0.031322746,1.097533541,1.324910737,0.18440439
1935 to 1945,1935 to 1940,1,12,31/01/1935,12,-0.002093137,0.100166175,-0.031322746,1.009761621,1.228900571,0.157704065
1935 to 1945,1935 to 1940,1,13,31/01/1935,13,-0.039058688,0.103424946,-0.031322746,0.974666722,1.077926147,0.184263372
1935 to 1945,1935 to 1940,1,14,31/01/1935,14,-0.04786459,0.116358829,-0.031322746,1.007332469,1.144119398,0.171410218
1935 to 1945,1935 to 1940,1,15,31/01/1935,15,-0.069908667,0.123239432,-0.031322746,1.068122829,1.371324038,0.177855435
1935 to 1945,1935 to 1940,1,16,31/01/1935,16,-0.045078484,0.111440708,-0.031322746,1.214645827,1.578484821,0.223276408
1935 to 1945,1935 to 1940,1,17,31/01/1935,17,-0.004907498,0.139284848,-0.031322746,1.135099668,1.455291845,0.184414471
1935 to 1945,1935 to 1940,1,18,31/01/1935,18,-0.038772329,0.125538473,-0.031322746,1.146461163,1.381405839,0.177417069
1935 to 1945,1935 to 1940,1,19,31/01/1935,19,-0.092017413,0.111988921,-0.031322746,1.025500506,1.12844951,0.176109923
1935 to 1945,1935 to 1940,1,20,31/01/1935,20,-0.046272727,0.109649447,-0.031322746,1.343840201,1.915783426,0.223397226
